groupe,modèle,mode,temps,formes,personne
-ir,partir,subjonctif,imparfait,elle partît,elle
-ir,partir,subjonctif,imparfait,nous partissions,nous
-ir,partir,subjonctif,imparfait,vous partissiez,vous
-ir,partir,subjonctif,imparfait,ils partissent,ils
-ir,partir,subjonctif,passé,je sois parti,je
-ir,partir,subjonctif,passé,tu sois parti,tu
-ir,partir,subjonctif,passé,il soit parti,il
-ir,partir,subjonctif,passé,nous soyons partis,nous
-ir,partir,subjonctif,passé,vous soyez partis,vous
-ir,partir,subjonctif,passé,ils soient partis,ils
-ir,partir,subjonctif,plus-que-parfait,je fusse parti,je
-ir,partir,subjonctif,plus-que-parfait,tu fusses parti,tu
-ir,partir,subjonctif,plus-que-parfait,elle fût partie,elle
-ir,partir,subjonctif,plus-que-parfait,nous fussions partis,nous
-ir,partir,subjonctif,plus-que-parfait,vous fussiez partis,vous
-ir,partir,subjonctif,plus-que-parfait,ils fussent partis,ils
-oir,devoir,indicatif,présent,je dois,je
-oir,devoir,indicatif,présent,tu dois,tu
-oir,devoir,indicatif,présent,elle doit,elle
-oir,devoir,indicatif,présent,nous devons,nous
-oir,devoir,indicatif,présent,vous devez,vous
-oir,devoir,indicatif,présent,elles doivent,elles
-oir,devoir,indicatif,imparfait,je devais,je
-oir,devoir,indicatif,imparfait,tu devais,tu
-oir,devoir,indicatif,imparfait,elle devait,elle
-oir,devoir,indicatif,imparfait,nous devions,nous
-oir,devoir,indicatif,imparfait,vous deviez,vous
-oir,devoir,indicatif,imparfait,elles devaient,elles
-oir,devoir,indicatif,passé composé,j'ai dû,je
-oir,devoir,indicatif,passé composé,tu as dû,tu
-oir,devoir,indicatif,passé composé,elle a dû,elle
-oir,devoir,indicatif,passé composé,nous avons dû,nous
-oir,devoir,indicatif,passé composé,vous avez dû,vous
-oir,devoir,indicatif,passé composé,elles ont dû,elles
-oir,devoir,indicatif,plus-que-parfait,j'avais dû,je
-oir,devoir,indicatif,plus-que-parfait,tu avais dû,tu
-oir,devoir,indicatif,plus-que-parfait,elle avait dû,elle
-oir,devoir,indicatif,plus-que-parfait,nous avions dû,nous
-oir,devoir,indicatif,plus-que-parfait,vous aviez dû,vous
-oir,devoir,indicatif,plus-que-parfait,elles avaient dû,elles
-oir,devoir,indicatif,futur simple,je devrai,je
-oir,devoir,indicatif,futur simple,tu devras,tu
-oir,devoir,indicatif,futur simple,elle devra,elle
-oir,devoir,indicatif,futur simple,nous devrons,nous
-oir,devoir,indicatif,futur simple,vous devrez,vous
-oir,devoir,indicatif,futur simple,elles devront,elles
-oir,devoir,indicatif,passé simple,je dus,je
-oir,devoir,indicatif,passé simple,tu dus,tu
-oir,devoir,indicatif,passé simple,elle dut,elle
